,0,1,2,3,4,5
0,State,Number of villages,CLR Completed (%),CLR Ongoing (%),CLR not started (%),Mutation computerised (%)
1,Andhra Pradesh,17563,97%,1%,2%,98%
2,Arunachal Pradesh,5590,0%,0%,100%,0%
3,Assam,26777,52%,0%,48%,62%
4,Bihar,46368,65%,19%,16%,2%
5,Chhattisgarh,20401,89%,6%,5%,90%
6,Goa,425,0%,33%,66%,34%
7,Gujarat,18531,96%,0%,4%,83%
8,Haryana,7088,93%,4%,3%,93%
9,Himachal Pradesh,20694,100%,0%,0%,2%
10,Jammu & Kashmir,5733,9%,0%,91%,0%
11,Jharkhand,32752,44%,24%,32%,32%
12,Karnataka,29523,100%,0%,0%,0%
13,Kerala,1674,44%,1%,55%,44%
14,Madhya Pradesh,55070,99%,0%,1%,31%
15,Maharashtra,44855,99%,1%,0%,99%
16,Manipur,2743,9%,3%,88%,8%
17,Meghalaya,6822,0%,0%,100%,0%
18,Mizoram,826,0%,0%,100%,0%
19,Nagaland,1601,0%,0%,100%,0%
20,Odisha,51681,100%,0%,0%,0%
21,Punjab,12894,94%,0%,6%,30%
22,Rajasthan,47921,97%,0%,3%,8%
23,Sikkim,417,93%,0%,7%,67%
24,Tamil Nadu,16721,78%,0%,22%,74%
25,Telangana,10829,99%,0%,1%,99%
26,Tripura,891,100%,0%,0%,100%
27,Uttarakhand,17126,87%,0%,13%,37%
28,Uttar Pradesh,109109,96%,0%,4%,73%
29,West Bengal,42191,97%,1%,2%,96%
30,Andaman & Nicobar Islands,209,98%,2%,0%,98%
31,Chandigarh,16,38%,6%,56%,6%
32,Dadra & Nagar Haveli,72,100%,0%,0%,100%
33,Daman & Diu,28,79%,14%,7%,93%
34,Lakshadweep,24,100%,0%,0%,0%
35,NCT of Delhi,207,0%,0%,100%,0%
36,Puducherry,130,98%,0%,2%,98%
37,Total,655502,86%,3%,11%,47%
