,0,1,2,3,4,5
0,State,Total Number of ROR,Number of villages,Issuance of digitally signed ROR (% of villages),ROR Linkage With Aadhaar Completed (% of Villages),ROR Linkage With Aadhaar Completed (% of ROR)
1,Andhra Pradesh,8708469,17563,98.0%,94.3%,97.2%
2,Arunachal Pradesh,-,5590,0.0%,0.0%,0.0%
3,Assam,16654,26777,0.0%,0.0%,0.0%
4,Bihar,34638283,46368,0.2%,0.0%,0.0%
5,Chhattisgarh,18839626,20401,3.4%,0.3%,0.4%
6,Goa,72880,425,0.0%,0.0%,0.0%
7,Gujarat,10413822,18531,30.5%,0.8%,1.0%
8,Haryana,1775941,7088,2.9%,1.0%,1.1%
9,Himachal Pradesh,20256,20694,86.3%,0.2%,0.2%
10,Jammu & Kashmir,528,5733,0.0%,0.0%,0.0%
11,Jharkhand,574191,32752,3.7%,0.9%,1.9%
12,Karnataka,-,29523,0.0%,0.0%,0.0%
13,Kerala,8166375,1674,0.0%,0.0%,0.0%
14,Madhya Pradesh,38683821,55070,31.3%,0.0%,0.0%
15,Maharashtra,22769497,44855,0.0%,0.0%,0.0%
16,Manipur,334879,2743,0.0%,0.0%,0.0%
17,Meghalaya,-,6822,0.0%,0.0%,0.0%
18,Mizoram,2400,826,0.0%,0.0%,0.0%
19,Nagaland,-,1601,0.0%,0.0%,0.0%
20,Odisha,14539180,51681,0.0%,0.0%,0.0%
21,Punjab,3832120,12894,0.2%,0.2%,0.2%
22,Rajasthan,9779242,47921,7.9%,0.0%,0.0%
23,Sikkim,129655,417,0.0%,0.0%,0.0%
24,Tamil Nadu,19445769,16721,76.4%,0.1%,0.2%
25,Telangana,13280649,10829,99.2%,91.1%,95.4%
26,Tripura,1099422,891,68.2%,0.2%,0.2%
27,Uttarakhand,1291212,17126,0.2%,0.0%,0.1%
28,Uttar Pradesh,19172512,109109,79.0%,1.4%,0.5%
29,West Bengal,35717489,42191,13.4%,0.0%,0.0%
30,Andaman & Nicobar Islands,93007,209,98.1%,0.0%,0.0%
31,Chandigarh,1080,16,0.0%,0.0%,0.0%
32,Dadra & Nagar Haveli,45437,72,100.0%,0.0%,0.0%
33,Daman & Diu,48508,28,0.0%,0.0%,0.0%
34,Lakshadweep,72425,24,0.0%,0.0%,0.0%
35,NCT of Delhi,-,207,0.0%,0.0%,0.0%
36,Puducherry,288481,130,97.7%,0.8%,5.8%
37,Total,264853810,655502,28%,4%,8%
