,0,1,2,3,4,5,6,7
0,,,,,,% of Villages where Survey/Re-survey Work,% of Villages where Survey/Re-survey Work,% of Villages where Survey/Re-survey Work
1,State/UT,No. of Tehsils,Net area(sq. km.),Number of Villages,% of Area Surveyed,Completed,Ongoing,Not Started
2,Andhra Pradesh,767,131641,17563,0.6%,0.7%,0.0%,99.3%
3,Arunachal Pradesh,189,-,5590,0.0%,0.0%,0.0%,100.0%
4,Assam,185,-,26777,0.0%,0.0%,0.0%,100.0%
5,Bihar,534,4160,46368,5.1%,0.1%,3.6%,96.3%
6,Chhattisgarh,164,8178051,20401,89.3%,33.6%,1.2%,65.2%
7,Goa,12,-,425,0.0%,0.0%,0.0%,100.0%
8,Gujarat,252,220348,18531,58.0%,97.1%,0.4%,2.5%
9,Haryana,142,802169,7088,0.0%,2.1%,0.0%,97.9%
10,Himachal Pradesh,136,55839,20694,0.1%,0.1%,0.2%,99.7%
11,Jammu & Kashmir,87,-,5733,0.2%,0.0%,0.0%,100.0%
12,Jharkhand,268,294285,32752,0.2%,1.5%,0.0%,98.5%
13,Karnataka,203,-,29523,0.2%,0.0%,0.0%,100.0%
14,Kerala,77,35943,1674,49.2%,50.1%,3.6%,46.3%
15,Madhya Pradesh,347,285231,55070,0.0%,0.0%,0.0%,100.0%
16,Maharashtra,358,308306,44855,0.0%,0.0%,0.0%,100.0%
17,Manipur,91,-,2743,0.0%,0.0%,0.0%,100.0%
18,Meghalaya,43,-,6822,0.0%,0.0%,0.0%,100.0%
19,Mizoram,29,-,826,0.0%,0.0%,0.0%,100.0%
20,Nagaland,121,-,1601,0.1%,0.0%,0.0%,100.0%
21,Odisha,317,549,51681,0.1%,0.0%,0.0%,100.0%
22,Punjab,87,-,12894,0.1%,0.0%,0.0%,100.0%
23,Rajasthan,314,10761088,47921,3.3%,7.8%,4.6%,87.6%
24,Sikkim,75,1792,417,0.0%,0.0%,0.0%,100.0%
25,Tamil Nadu,287,142725,16721,3.0%,3.7%,0.0%,96.3%
26,Telangana,460,153749,10829,3.6%,8.4%,0.0%,91.6%
27,Tripura,47,10587,891,91.3%,98.1%,1.9%,0.0%
28,Uttarakhand,129,122327,17126,0.0%,0.0%,0.0%,100.0%
29,Uttar Pradesh,342,903096,109109,0.4%,1.8%,0.4%,97.8%
30,West Bengal,343,84135,42191,44.7%,49.9%,1.4%,48.7%
31,Andaman & Nicobar Islands,7,836,209,66.9%,79.4%,3.8%,16.8%
32,Chandigarh,1,-,16,0.0%,0.0%,0.0%,100.0%
33,Dadra & Nagar Haveli,11,489,72,100.0%,100.0%,0.0%,0.0%
34,Daman & Diu,3,112,28,0.0%,0.0%,0.0%,100.0%
35,Lakshadweep,10,-,24,0.0%,0.0%,0.0%,100.0%
36,NCT of Delhi,33,-,207,0.1%,0.0%,0.0%,100.0%
37,Puducherry,8,-,130,0.1%,0.0%,0.0%,100.0%
38,Total,6479,22497457,655502,35.0%,8.5%,0.8%,90.7%
